"","Yam & potatoe peel","Plantain peel","Egg shell","Vegetables and Fruits","Empty drink cans","Bottle caps","Bent spoons and cups","Electrical and Mechanical parts","Pet bottles","Empty Water Sachets","Plastic Bottles","Fast-Food Packets","Paper and Cartons","Glass"
"Fast.Food.Packets.1",0.067427795223089,0.0460566806447144,0.0566554852589807,-0.109995840246049,0.149977327233099,0.0480308341517089,0.0862917118577435,-0.211143528351533,0.118255042861355,0.197695367061472,-0.232191484884205,1,-0.235024188694678,-0.0189882028006154
"Paper.and.Cartons.1",-0.206952230656109,-0.0515664407062067,0.0964276061398267,0.0559972436625095,-0.188910023664088,-0.192692572722779,0.0396188891375231,0.0996039895146761,-0.0140955967775661,-0.0479039831681697,0.101445252757641,-0.235024188694678,1,0.117118142219516
"Glass.1",-0.0353249470191186,-0.0517829664428589,-0.0352488990539639,-0.0934623932683407,0.0981127451714298,0.177433638263007,0.0053402896029471,0.247476768532098,-0.215961970664366,-0.080677757957779,-0.0869891498915077,-0.0189882028006154,0.117118142219516,1
"Yam...potatoe.peel.2",1,0.0191807325115525,0.104573891568427,-0.156107345760846,-0.0211755312941576,0.244691938126781,-0.101106860368178,-0.0815727826444974,-0.0407889232611563,-0.120936320269111,0.170101660132625,-0.12682525012452,0.0509385805969915,-0.182888162658009
"Plantain.peel.2",0.0191807325115525,1,-0.124342771176917,0.187062270258221,0.102720129024034,-0.107434854673,-0.0934457611609176,-0.192260434445122,-0.0541523131273518,0.0364076057229737,0.258213996231557,-0.00650935135287485,-0.254924118500748,0.104344886971769
"Egg.shell.2",0.104573891568427,-0.124342771176917,1,0.0968944347501662,-0.00669007094772404,0.0878261445632354,-0.129671627552127,-0.0523900005716156,-0.0322919690919464,-0.113564195318444,-0.16245629202258,0.0714105724733599,-0.112798429609779,-0.0188282763215015
"Vegetables.and.Fruits.2",-0.156107345760846,0.187062270258221,0.0968944347501662,1,0.0504961121517821,-0.0822533724711782,-0.362022310346024,-0.302003515245272,-0.240754483708846,0.0606476068235374,-0.116117012982151,0.0895350154744908,0.0015788565056341,-0.10218680046728
"Empty.drink.cans.2",-0.0211755312941576,0.102720129024034,-0.00669007094772404,0.0504961121517821,1,-0.0692009655515377,0.087042342900362,0.00512800655401574,0.0706632706911559,-0.0053016207248261,-0.140406368766269,-0.134011415791267,-0.0920695427529023,-0.00965015033087623
"Bottle.caps.2",0.244691938126781,-0.107434854673,0.0878261445632354,-0.0822533724711782,-0.0692009655515377,1,0.100673383186845,-0.223961265636185,-0.0936841037625835,-0.0116052707198987,-0.079588162734135,-0.0773591211377378,0.10793685078945,0.117368676133714
"Bent.spoons.and.cups.2",-0.101106860368178,-0.0934457611609176,-0.129671627552127,-0.362022310346024,0.087042342900362,0.100673383186845,1,0.0243240774744306,0.162408385906278,-0.0372804961951274,-0.0813693761870115,-0.397979627981196,-0.0164708893621157,0.0951237969956467
"Electrical.and.Mechanical.parts.2",-0.0815727826444974,-0.192260434445122,-0.0523900005716156,-0.302003515245272,0.00512800655401574,-0.223961265636185,0.0243240774744306,1,0.0209197172947999,0.0445868185839514,0.281851272657128,0.104291966351719,0.0782436656539629,-0.0374584542662515
"Pet.bottles.2",-0.0407889232611563,-0.0541523131273518,-0.0322919690919464,-0.240754483708846,0.0706632706911559,-0.0936841037625835,0.162408385906278,0.0209197172947999,1,0.0817333154103029,0.192321683223716,-0.222831706209395,-0.357879016586366,0.108124228593081
"Empty.Water.Sachets.2",-0.120936320269111,0.0364076057229737,-0.113564195318444,0.0606476068235374,-0.0053016207248261,-0.0116052707198987,-0.0372804961951274,0.0445868185839514,0.0817333154103029,1,-0.00412611204070508,0.00510476736986446,0.106912231717276,0.330167207435722
"Plastic.Bottles.2",0.170101660132625,0.258213996231557,-0.16245629202258,-0.116117012982151,-0.140406368766269,-0.079588162734135,-0.0813693761870115,0.281851272657128,0.192321683223716,-0.00412611204070508,1,-0.0228738443133273,-0.143134994948086,-0.106301414329618
"Fast.Food.Packets.2",-0.12682525012452,-0.00650935135287485,0.0714105724733599,0.0895350154744908,-0.134011415791267,-0.0773591211377378,-0.397979627981196,0.104291966351719,-0.222831706209395,0.00510476736986446,-0.0228738443133273,1,0.278758416979492,-0.199868197854329
"Paper.and.Cartons.2",0.0509385805969915,-0.254924118500748,-0.112798429609779,0.0015788565056341,-0.0920695427529023,0.10793685078945,-0.0164708893621157,0.0782436656539629,-0.357879016586366,0.106912231717276,-0.143134994948086,0.278758416979492,1,-0.0821472448583507
"Glass.2",-0.182888162658009,0.104344886971769,-0.0188282763215015,-0.10218680046728,-0.00965015033087623,0.117368676133714,0.0951237969956467,-0.0374584542662515,0.108124228593081,0.330167207435722,-0.106301414329618,-0.199868197854329,-0.0821472448583507,1
"Yam...potatoe.peel.3",1,0.0213074082064206,0.258279454502665,0.419636507102416,0.374099703342707,0.283801810665274,0.148979730231716,0.409944223589534,0.201231647504198,-0.510280282341476,0.220188851589603,0.455377517033766,0.320862729201963,0.149555530683914
"Plantain.peel.3",0.0213074082064206,1,-0.0135469613102368,-0.0416500742328335,0.00909046138205307,0.00944590867553924,-0.0372534325260152,-0.0211023592735792,0.0425939873087469,-0.101331006684174,0.0536467333854964,0.0436834047523561,-0.12255265107926,0.0557100614071928
"Egg.shell.3",0.258279454502665,-0.0135469613102368,1,0.545236211727636,0.584832656655974,0.591330415740346,0.0193838476563132,0.667411528186411,0.517298810261502,-0.507581004205288,0.548785525116109,0.745748452616953,0.277602122739055,0.718474173995163
"Vegetables.and.Fruits.3",0.419636507102416,-0.0416500742328335,0.545236211727636,1,0.608702737079187,0.415076418081262,0.105732269866373,0.586736422036207,0.517066893128606,-0.628317182092229,0.396857180703656,0.713730861337276,0.445184363547544,0.441230673895317
"Empty.drink.cans.3",0.374099703342707,0.00909046138205307,0.584832656655974,0.608702737079187,1,0.503612710033143,0.211293353661512,0.662713455005743,0.486317778625188,-0.617733215523203,0.414224213309543,0.737489537765741,0.330810187670032,0.542654042914918
"Bottle.caps.3",0.283801810665274,0.00944590867553924,0.591330415740346,0.415076418081262,0.503612710033143,1,0.136015054868319,0.541491464610041,0.50228363776682,-0.4172005682021,0.464031830738557,0.631046670413347,0.226186663715932,0.62740209258978
"Bent.spoons.and.cups.3",0.148979730231716,-0.0372534325260152,0.0193838476563132,0.105732269866373,0.211293353661512,0.136015054868319,1,0.163235420280769,0.162021842417373,-0.151441445870762,0.00920831540985409,0.111931076111809,0.14323553201673,0.0499343254827089
"Electrical.and.Mechanical.parts.3",0.409944223589534,-0.0211023592735792,0.667411528186411,0.586736422036207,0.662713455005743,0.541491464610041,0.163235420280769,1,0.555984789819433,-0.644991781679379,0.618731948588034,0.822167642710028,0.416959812496012,0.690641040561296
"Pet.bottles.3",0.201231647504198,0.0425939873087469,0.517298810261502,0.517066893128606,0.486317778625188,0.50228363776682,0.162021842417373,0.555984789819433,1,-0.470767546072997,0.426475160128054,0.621409762488415,0.261685022412483,0.581995347378143
"Empty.Water.Sachets.3",-0.510280282341476,-0.101331006684174,-0.507581004205288,-0.628317182092229,-0.617733215523203,-0.4172005682021,-0.151441445870762,-0.644991781679379,-0.470767546072997,1,-0.389745804995226,-0.690392969039502,-0.418831877454931,-0.467928349613683
"Plastic.Bottles.3",0.220188851589603,0.0536467333854964,0.548785525116109,0.396857180703656,0.414224213309543,0.464031830738557,0.00920831540985409,0.618731948588034,0.426475160128054,-0.389745804995226,1,0.572211960356521,0.146745991277535,0.6208839729262
"Fast.Food.Packets.3",0.455377517033766,0.0436834047523561,0.745748452616953,0.713730861337276,0.737489537765741,0.631046670413347,0.111931076111809,0.822167642710028,0.621409762488415,-0.690392969039502,0.572211960356521,1,0.418338657715509,0.722684356903948
"Paper.and.Cartons.3",0.320862729201963,-0.12255265107926,0.277602122739055,0.445184363547544,0.330810187670032,0.226186663715932,0.14323553201673,0.416959812496012,0.261685022412483,-0.418831877454931,0.146745991277535,0.418338657715509,1,0.269445009075904
"Glass.3",0.149555530683914,0.0557100614071928,0.718474173995163,0.441230673895317,0.542654042914918,0.62740209258978,0.0499343254827089,0.690641040561296,0.581995347378143,-0.467928349613683,0.6208839729262,0.722684356903948,0.269445009075904,1
